City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Norman Wells,CA,2022-05-22 04:35:00,65.282,-126.8329,42.84,93,100,3.44
166,Erzin,TR,2022-05-22 04:39:34,36.9559,36.2,77.79,28,2,4.38
167,Bluff,NZ,2022-05-22 04:39:34,-46.6,168.3333,48.67,65,69,21.39
168,Qui Nhon,VN,2022-05-22 04:39:35,13.7667,109.2333,88.7,60,99,3.02
169,Caravelas,BR,2022-05-22 04:39:35,-17.7125,-39.2481,70.29,73,0,6.69
170,Port Lincoln,AU,2022-05-22 04:36:22,-34.7333,135.8667,63.25,68,84,12.59
171,Chokurdakh,RU,2022-05-22 04:39:36,70.6333,147.9167,34.45,100,100,1.77
172,Maragogi,BR,2022-05-22 04:33:01,-9.0122,-35.2225,76.12,85,91,13.51
173,Tabuk,PH,2022-05-22 04:39:36,17.4189,121.4443,86.41,67,85,4.52
174,Tessalit,ML,2022-05-22 04:32:57,20.1986,1.0114,84.65,17,70,8.93
175,Nioro,GM,2022-05-22 04:39:37,13.35,-15.75,73.36,73,96,6.02
176,Manono,CD,2022-05-22 04:39:37,-7.3,27.4167,69.91,71,78,1.83
177,Priyutnoye,RU,2022-05-22 04:39:38,46.1011,43.5072,58.51,56,85,16.51
178,Majene,ID,2022-05-22 04:39:38,-3.5403,118.9707,85.87,64,69,7.78
179,Ganzhou,CN,2022-05-22 04:39:39,28.8184,115.4327,74.95,73,100,2.75
180,Micheweni,TZ,2022-05-22 04:39:39,-4.9667,39.8333,80.62,76,100,9.98
181,Luanda,AO,2022-05-22 04:34:18,-8.8368,13.2343,69.42,91,62,7.43
182,Narsaq,GL,2022-05-22 04:39:40,60.9167,-46.05,35.82,79,100,5.7
183,Charters Towers,AU,2022-05-22 04:36:07,-20.1,146.2667,72.88,65,91,10.0
184,Yar-Sale,RU,2022-05-22 04:39:40,66.8333,70.8333,35.83,67,100,15.12
185,Gamba,GA,2022-05-22 04:39:41,-2.65,10.0,73.24,88,91,4.52
186,Hithadhoo,MV,2022-05-22 04:40:41,-0.6,73.0833,83.46,69,100,11.03
187,Meulaboh,ID,2022-05-22 04:40:41,4.1363,96.1285,83.84,72,89,3.18
